L01	2.40	0.92	Most labels promise purity.
L02	6.30	0.90	Few can prove it.
L03	12.75	0.92	This is PurePeptide.
L04	20.30	0.95	Identity, confirmed. Purity, measured.
L05	24.15	0.95	Every batch, independently tested.
L06	30.00	0.95	Ninety-nine percent purity. Minimum.
L07	33.15	0.95	Shipped cold, within twenty-four hours.
L08	36.15	0.95	Six compounds. One standard.
L09	39.20	1.00	Buy more, save more.
L10	42.15	1.00	Two vials, five percent off.
L11	44.15	1.00	Three or more, eight percent off.
L12	46.30	1.00	Free shipping on orders over two hundred dollars.
L13	50.20	0.92	No promises. Just proof.
L14	53.50	0.92	PurePeptide. Purity, proven.
L15	55.70	0.98	Shop now, at pure peptide dot care.
